feature,importance_mean,importance_std
jerk_motion_intensity,0.0009776551539361523,0.0001089847233713677
ay_std,0.0009371098549576962,0.00012456166431413482
jerk_mag_p10,0.000923049981211399,0.001023905586512643
jerk_mag_iqr,0.0008909849730973418,0.0001756372516528572
gy_mean,0.0006434492972197337,0.0003619438638826555
alpha_mag_max,0.0006169700470491923,0.0003105193648689691
alpha_mag_power_low,0.0005812564402510212,0.00026014590574143496
vibration_power,0.0005644891422016852,0.00010480783971082616
ax_dom_freq,0.0005398451100298463,0.00013138370705682162
ay_kurt,0.00052191792011953,0.00010970727187014475
acc_horiz_iqr,0.00048010399495905797,0.0002063198739763895
gyro_mag_std,0.00046851932911489146,0.00012452057999562806
jerk_mag_mad,0.0004678524752233626,0.00017368764119692778
gyro_mag_spec_centroid,0.00042774713049189563,0.0001314670575875641
ay_iqr,0.0003989767939527766,8.409625810130368e-05
jerk_mag_p2p,0.0003845781040249241,0.00011135238621765424
gyro_mag_dom_freq,0.00034174506922408644,7.166457147889257e-05
ax_rms,0.0003216398404388032,8.47688874923822e-05
gx_skew,0.0003214080737082625,0.0001192985730340268
jerk_mag_spec_centroid,0.0003135482028116643,0.00037222879531589897
alpha_z_min,0.00030044813999281496,0.0001746182550844373
jerk_mag_median,0.00029511215469757435,0.0005220174869044804
alpha_mag_p90,0.00028387866643981853,0.000255994839887173
acc_horiz_rms,0.00027264329128791066,7.102158925259752e-05
jerk_mag_skew,0.00026418295761956314,9.82546365291609e-05
alpha_mag_kurt,0.0002381511182671936,0.00015714791608621638
az_median,0.00023449554411865138,0.000526256557251939
az_skew,0.000189247857280761,9.453671763818476e-05
acc_mag_p10,0.00018851990789507943,0.0008921068691739648
gyro_mag_skew,0.00013622121738121606,9.61678685754883e-05
gz_mean,0.00012078476222556755,4.0213864272828776e-05
gyro_mag_kurt,0.00011754016514942123,5.328026393780073e-05
az_iqr,0.00011565102460826537,0.0003475321365759754
acc_mag_power_low,0.00010304144367638824,0.00013110928249438915
gz_power_low,0.00010159750322131788,7.150689822074761e-05
gyro_mag_rms,8.134793848550981e-05,7.694224670361687e-05
acc_horiz_dom_freq,7.44213428990781e-05,9.713995883100107e-05
alpha_mag_dom_freq,7.37325012978296e-05,2.0927335074042803e-05
acc_mag_skew,7.29875252884149e-05,0.00020796731810525168
alpha_z_skew,7.180921449287947e-05,5.7951011557941095e-05
